local_memory,step1,step2,step3,step4,step5,step6,step7,step8,step9,total
1,3.313,17.853,23.794,12.745,101.098,19.469,4.309,39.071,44.541,266.193
3,3.280,13.425,14.410,4.023,33.353,19.285,3.686,23.716,25.034,140.211
5,3.270,13.013,14.624,2.441,36.291,19.125,3.703,19.727,14.544,126.738
7,3.277,12.953,14.369,2.359,28.021,19.063,3.694,14.662,17.383,115.782
9,3.283,14.295,14.167,2.381,27.894,19.043,3.644,13.456,14.276,112.439
11,3.266,12.805,13.867,2.307,27.896,18.680,3.565,15.964,15.440,113.790
13,3.262,12.871,12.993,2.393,28.138,18.382,3.590,13.640,14.193,109.462
15,3.290,12.412,12.981,2.348,26.898,16.195,3.505,13.522,14.170,105.319
17,3.237,13.007,13.077,2.362,26.172,12.340,3.393,13.777,14.181,101.546
19,3.248,10.824,13.562,2.243,25.369,10.855,3.379,14.209,14.179,97.868
21,3.248,10.217,12.555,2.448,24.213,10.301,3.384,15.415,14.180,95.961
23,3.244,9.958,12.054,2.221,23.567,9.766,3.438,13.908,14.147,92.303
25,3.247,9.123,12.474,2.238,23.567,9.992,3.374,14.046,14.108,92.170
27,3.246,9.083,11.810,2.212,21.168,10.239,3.367,13.469,14.289,88.882
29,3.244,9.136,11.679,2.200,22.560,9.948,3.389,13.270,14.485,89.911
31,3.206,9.114,11.275,2.228,19.986,9.383,3.373,13.188,14.075,85.828
