local_memory,step1,step2,step3,step4,step5,step6,step7,step8,step9,total
1,3.287,33.279,36.456,3.429,62.623,16.510,4.157,42.474,49.873,252.088
3,3.271,33.514,36.428,2.539,62.557,10.880,3.442,41.881,49.016,243.529
5,3.252,33.507,36.318,2.345,62.604,11.042,3.376,41.838,49.932,244.213
7,3.270,33.509,36.333,2.236,62.668,11.491,3.422,41.841,49.404,244.173
9,3.277,33.566,36.778,2.217,62.547,11.167,3.214,41.891,49.228,243.885
11,3.237,33.566,37.173,2.203,62.509,13.109,3.179,41.920,49.164,246.061
13,3.252,33.502,36.330,2.257,62.540,10.918,3.349,42.116,49.447,243.711
15,3.252,33.477,37.142,2.238,62.524,10.897,3.136,42.216,49.346,244.228
17,3.239,33.570,37.239,2.190,62.503,10.620,3.136,41.782,49.535,243.815
19,3.241,33.516,37.178,2.011,63.502,10.567,3.130,42.016,49.236,244.397
21,3.240,33.556,36.388,2.000,62.845,10.419,3.022,43.015,49.544,244.030
23,3.242,33.620,37.180,1.936,62.647,10.441,3.025,41.503,49.563,243.157
25,3.239,33.575,36.477,1.926,62.721,10.461,3.029,41.811,49.326,242.566
27,3.240,33.550,36.390,2.013,62.649,10.452,3.026,42.147,49.199,242.666
29,3.205,33.552,37.236,2.008,62.698,10.426,3.021,41.952,49.321,243.419
31,3.256,33.595,36.345,2.001,62.760,10.484,3.029,41.783,49.695,242.949
